zeta zeta_e psi t_s omega taus_mean taus_std taus_skewness taus_kurtosis taus_median taus_iqr epsilons_mean epsilons_std epsilons_skewness epsilons_kurtosis epsilons_median epsilons_iqr Ne_s_mean Ne_s_std Ne_s_skewness Ne_s_kurtosis Ne_s_median Ne_s_iqr pop0-[[5_1]] pop0-[[4_2]] pop0-[[3_3]] pop1-[[5_1]] pop1-[[4_2]] pop1-[[3_3]] pop2-[[5_1]] pop2-[[4_2]] pop2-[[3_3]] pop3-[[5_1]] pop3-[[4_2]] pop3-[[3_3]] pop4-[[5_1]] pop4-[[4_2]] pop4-[[3_3]] pop5-[[5_1]] pop5-[[4_2]] pop5-[[3_3]] pop6-[[5_1]] pop6-[[4_2]] pop6-[[3_3]] pop7-[[5_1]] pop7-[[4_2]] pop7-[[3_3]] pop8-[[5_1]] pop8-[[4_2]] pop8-[[3_3]] pop9-[[5_1]] pop9-[[4_2]] pop9-[[3_3]] pop10-[[5_1]] pop10-[[4_2]] pop10-[[3_3]] pop11-[[5_1]] pop11-[[4_2]] pop11-[[3_3]] pop12-[[5_1]] pop12-[[4_2]] pop12-[[3_3]] pop13-[[5_1]] pop13-[[4_2]] pop13-[[3_3]] pop14-[[5_1]] pop14-[[4_2]] pop14-[[3_3]] pop15-[[5_1]] pop15-[[4_2]] pop15-[[3_3]] pop16-[[5_1]] pop16-[[4_2]] pop16-[[3_3]] pop17-[[5_1]] pop17-[[4_2]] pop17-[[3_3]] pop18-[[5_1]] pop18-[[4_2]] pop18-[[3_3]] pop19-[[5_1]] pop19-[[4_2]] pop19-[[3_3]] pop20-[[5_1]] pop20-[[4_2]] pop20-[[3_3]]
0.949 20 1 0.843 0.008 0.825 0.079 -4.249 16.050 0.843 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 76 50 25 72 43 22 72 41 19 71 41 18 68 40 18 66 39 18 66 39 17 66 38 16 65 38 15 64 36 14 64 36 14 64 35 13 62 35 12 61 34 11 60 34 11 60 33 11 59 33 10 56 31 9 50 31 9 50 28 7 44 27 6
0.280 6 1 0.958 0.081 0.830 0.259 -0.592 -0.590 0.948 0.351 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 81 50 30 80 46 25 77 46 22 76 45 20 76 44 20 72 44 18 72 43 17 69 42 16 68 42 15 65 39 15 63 37 15 62 37 15 60 36 14 58 35 14 58 34 13 58 32 13 55 28 12 55 27 12 54 25 11 48 24 8 46 19 8
0.334 7 1 0.985 0.091 0.823 0.273 -0.692 -0.989 0.985 0.338 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 78 48 32 75 45 22 73 45 19 70 43 19 69 40 18 69 40 18 62 39 18 61 39 17 61 38 15 61 37 14 60 36 14 59 36 14 58 35 13 58 34 13 57 32 11 56 31 11 56 29 10 52 27 9 52 19 9 48 19 8 47 18 2
0.656 14 1 1.010 0.067 0.891 0.245 -1.299 0.259 1.010 0.042 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 96 47 28 93 43 24 85 43 24 81 42 24 79 42 22 78 40 22 77 40 21 75 39 19 70 38 18 67 36 18 67 35 16 66 34 16 66 34 16 66 34 16 65 33 15 63 33 14 61 32 13 59 32 12 57 31 12 55 30 11 51 24 7
0.383 8 1 0.422 0.155 0.678 0.324 0.509 -1.467 0.422 0.576 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 84 57 30 74 43 18 71 36 16 64 35 15 61 35 14 60 34 13 58 33 13 57 32 13 56 31 12 56 30 12 56 29 10 55 28 10 52 26 10 51 24 9 49 23 8 47 23 8 47 23 7 47 22 7 44 21 6 40 21 6 36 21 5
0.140 3 1 0.377 0.100 0.715 0.268 -0.061 -1.161 0.760 0.467 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 66 51 28 66 44 23 65 42 21 65 41 20 63 40 17 61 39 17 59 38 16 57 38 16 57 37 15 55 35 15 55 33 15 55 31 14 54 29 12 52 28 12 50 27 11 48 26 8 44 26 8 43 26 7 43 25 7 38 20 6 35 19 5
0.275 6 1 0.912 0.095 0.827 0.280 -0.842 -0.687 0.912 0.272 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 82 48 22 81 45 22 79 43 22 77 41 20 76 41 20 74 40 19 71 40 18 70 39 18 70 39 17 68 37 16 67 37 16 66 37 15 65 36 14 63 34 14 61 34 11 60 31 11 58 30 11 54 27 10 48 26 9 46 21 8 44 19 7
0.930 20 1 1.068 0.000 1.071 0.012 4.249 16.050 1.068 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 82 51 24 76 48 22 76 47 21 75 47 21 74 45 20 74 44 19 74 43 19 74 42 18 74 42 16 71 40 15 70 39 14 70 38 14 64 38 14 63 37 13 62 35 12 61 34 12 60 33 11 56 32 11 48 28 10 47 27 9 45 23 8
0.772 16 1 0.740 0.013 0.765 0.101 1.427 1.623 0.740 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 90 47 26 83 44 24 74 40 23 74 40 21 67 38 19 66 36 19 65 35 19 63 35 18 62 34 17 60 34 17 59 33 17 58 32 16 58 30 16 58 30 15 58 29 14 57 28 13 56 27 12 53 27 11 53 25 11 52 24 9 45 22 9
0.173 4 1 0.784 0.081 0.661 0.231 0.359 0.188 0.677 0.227 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 76 47 21 73 47 18 72 45 17 72 43 16 71 43 15 65 42 15 64 41 14 64 39 14 62 38 13 61 37 13 59 30 13 58 30 13 57 28 11 55 28 9 55 27 9 49 27 8 49 27 8 47 24 7 47 24 5 47 21 4 43 13 3
