zeta zeta_e psi t_s omega taus_mean taus_std taus_skewness taus_kurtosis taus_median taus_iqr epsilons_mean epsilons_std epsilons_skewness epsilons_kurtosis epsilons_median epsilons_iqr Ne_s_mean Ne_s_std Ne_s_skewness Ne_s_kurtosis Ne_s_median Ne_s_iqr pop0-[[5_1]] pop0-[[4_2]] pop0-[[3_3]] pop1-[[5_1]] pop1-[[4_2]] pop1-[[3_3]] pop2-[[5_1]] pop2-[[4_2]] pop2-[[3_3]] pop3-[[5_1]] pop3-[[4_2]] pop3-[[3_3]] pop4-[[5_1]] pop4-[[4_2]] pop4-[[3_3]] pop5-[[5_1]] pop5-[[4_2]] pop5-[[3_3]] pop6-[[5_1]] pop6-[[4_2]] pop6-[[3_3]] pop7-[[5_1]] pop7-[[4_2]] pop7-[[3_3]] pop8-[[5_1]] pop8-[[4_2]] pop8-[[3_3]] pop9-[[5_1]] pop9-[[4_2]] pop9-[[3_3]] pop10-[[5_1]] pop10-[[4_2]] pop10-[[3_3]] pop11-[[5_1]] pop11-[[4_2]] pop11-[[3_3]] pop12-[[5_1]] pop12-[[4_2]] pop12-[[3_3]] pop13-[[5_1]] pop13-[[4_2]] pop13-[[3_3]] pop14-[[5_1]] pop14-[[4_2]] pop14-[[3_3]] pop15-[[5_1]] pop15-[[4_2]] pop15-[[3_3]] pop16-[[5_1]] pop16-[[4_2]] pop16-[[3_3]] pop17-[[5_1]] pop17-[[4_2]] pop17-[[3_3]] pop18-[[5_1]] pop18-[[4_2]] pop18-[[3_3]] pop19-[[5_1]] pop19-[[4_2]] pop19-[[3_3]] pop20-[[5_1]] pop20-[[4_2]] pop20-[[3_3]]
0.267 6 1 1.107 0.113 0.798 0.300 -0.419 -1.352 0.950 0.579 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 78 53 34 75 45 25 75 44 21 71 43 20 71 42 20 70 41 20 69 40 19 68 39 18 65 39 17 64 39 17 63 39 17 63 38 16 62 36 16 62 35 15 60 33 15 58 32 14 57 30 12 53 26 12 53 25 12 52 23 8 34 22 6
0.235 5 1 0.978 0.109 0.769 0.289 -0.542 -1.160 0.886 0.507 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 80 58 29 77 54 20 75 52 19 71 48 18 70 41 18 68 40 18 68 39 17 66 37 16 64 37 15 64 36 15 64 35 15 64 34 14 63 33 12 63 31 12 62 31 12 59 30 11 58 28 9 52 25 8 51 19 8 48 18 7 46 15 6
0.621 13 1 0.491 0.094 0.538 0.225 2.271 4.311 0.491 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 66 35 21 63 31 21 63 31 20 61 30 18 58 29 18 58 29 18 58 28 16 56 27 13 56 27 12 56 26 12 55 26 12 54 26 11 54 25 10 51 24 10 51 24 9 50 21 8 48 21 8 46 21 8 45 20 8 44 19 8 34 17 6
0.789 17 1 0.409 0.081 0.484 0.197 2.226 3.410 0.409 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 57 36 18 56 35 17 55 35 17 55 32 16 54 29 14 53 28 13 53 28 12 53 26 10 52 25 10 52 25 10 52 25 10 50 25 10 50 23 9 50 21 9 47 20 9 46 19 8 44 18 8 43 16 7 42 15 6 42 14 6 38 13 6
0.856 18 1 0.311 0.062 0.371 0.152 2.328 3.779 0.311 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 56 33 12 54 29 11 54 29 10 54 28 10 54 27 9 50 25 9 50 25 9 50 24 8 49 22 8 49 21 8 49 19 7 48 18 7 47 17 7 45 17 7 45 17 6 45 17 5 43 16 5 43 16 5 42 16 5 40 15 3 37 13 3
0.209 4 1 0.523 0.079 0.625 0.223 0.591 -0.743 0.523 0.300 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 80 42 28 70 41 22 68 37 18 66 37 17 65 34 16 64 29 15 63 29 14 59 29 14 59 29 14 58 28 13 58 28 13 57 27 13 55 26 11 53 25 10 52 25 10 52 25 10 51 24 9 50 21 9 46 20 9 43 19 7 28 13 6
0.582 12 1 1.211 0.081 1.000 0.285 -1.065 -0.153 1.211 0.312 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 87 53 25 77 51 22 72 51 22 72 50 22 71 47 21 69 47 20 69 46 19 69 44 19 68 43 18 65 42 18 64 41 18 62 39 18 62 38 16 62 37 16 58 37 15 58 37 13 55 36 12 52 35 12 52 32 12 52 26 12 52 25 10
0.395 8 1 0.339 0.086 0.540 0.215 0.422 -1.360 0.455 0.396 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 70 48 19 69 36 16 68 34 16 60 33 15 60 28 15 58 26 11 54 26 11 53 24 10 53 23 9 53 23 9 51 22 8 51 22 7 51 21 7 48 21 7 47 21 7 47 19 7 42 17 6 42 16 6 41 15 6 41 14 5 41 7 4
0.243 5 1 0.710 0.116 0.655 0.275 0.181 -1.202 0.710 0.389 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 75 43 21 71 39 20 70 38 19 66 37 18 66 36 17 66 36 17 62 35 17 61 34 16 60 33 15 58 33 15 57 33 15 57 33 14 56 32 13 55 32 13 55 30 12 53 29 10 50 29 9 47 28 9 45 22 9 44 19 6 31 15 4
0.849 18 1 0.881 0.044 0.805 0.188 -2.044 2.185 0.881 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 72 54 29 70 52 28 70 51 26 69 49 24 69 46 22 68 43 21 67 43 20 66 43 19 66 41 18 65 41 17 64 38 17 63 38 16 62 37 16 60 34 16 58 33 16 57 32 14 57 31 12 52 31 11 52 29 10 49 28 10 48 19 8
0.199 4 1 1.027 0.137 0.648 0.298 0.205 -1.337 0.593 0.513 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 84 47 30 78 46 25 74 45 19 68 45 18 67 44 15 67 40 14 66 38 14 60 37 14 60 35 13 60 35 13 59 35 12 57 31 11 52 27 11 51 26 11 51 25 10 50 23 10 45 20 9 44 19 8 40 17 7 38 16 6 31 15 4
0.687 14 1 0.709 0.037 0.672 0.158 -0.104 1.666 0.709 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 78 46 21 75 45 19 70 44 18 68 43 17 64 43 17 64 41 16 63 38 15 62 38 15 60 37 14 59 36 13 58 36 12 57 35 12 56 34 12 55 34 11 54 32 10 54 31 9 52 29 8 52 27 8 48 27 8 46 27 8 40 27 7
0.514 11 1 0.304 0.143 0.483 0.263 1.218 -0.048 0.304 0.312 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 61 30 18 59 28 16 56 26 15 55 26 13 55 24 12 54 24 11 52 23 10 51 23 10 50 22 9 49 22 8 49 22 8 49 21 8 48 21 8 48 20 7 47 20 7 43 17 7 41 16 6 41 16 6 38 15 6 38 14 4 37 10 1
0.376 8 1 0.734 0.035 0.796 0.168 0.423 -0.759 0.734 0.137 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 86 52 21 71 46 20 67 44 19 66 41 19 66 40 18 65 39 18 65 39 18 65 38 17 64 36 16 63 36 14 62 36 14 62 35 13 59 35 13 58 34 12 57 34 12 57 33 12 55 32 12 51 32 11 48 31 9 47 31 9 36 27 8
0.044 1 0 0.728 0.091 0.742 0.260 0.225 -0.945 0.728 0.313 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 82 46 28 76 45 24 75 42 21 74 41 21 71 38 19 70 37 19 67 36 19 66 35 18 65 35 17 65 33 17 60 33 16 58 33 13 58 32 13 58 30 12 54 29 12 52 29 11 50 27 11 50 24 10 47 23 9 43 19 9 37 18 7
0.831 17 1 0.637 0.034 0.654 0.150 1.784 7.237 0.637 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 73 38 22 71 34 20 70 33 19 69 33 18 67 33 18 67 32 18 66 31 16 63 31 15 62 30 15 62 30 15 60 29 14 60 29 14 56 27 14 54 27 13 54 26 13 54 26 12 51 25 10 50 24 9 49 23 9 48 22 9 48 17 8
0.305 6 1 0.951 0.067 0.832 0.236 -0.883 -0.351 0.950 0.199 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 74 50 31 70 43 24 68 42 24 68 42 23 68 41 23 66 40 22 66 39 20 64 39 18 62 39 16 59 39 15 59 38 14 58 36 14 58 34 13 57 34 12 57 33 12 56 31 12 53 31 11 52 28 11 49 27 9 48 23 9 41 19 9
0.048 1 0 0.626 0.088 0.671 0.243 0.621 -0.120 0.631 0.288 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 79 42 24 73 38 21 71 38 18 70 37 18 69 36 18 68 35 18 64 35 18 62 34 17 61 34 17 61 34 17 58 33 15 58 29 14 57 29 12 57 28 12 56 27 12 56 26 11 55 25 11 50 25 10 49 22 9 48 19 8 33 16 6
0.133 3 1 0.812 0.079 0.770 0.247 -0.359 -0.859 0.797 0.427 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 81 51 26 76 49 23 75 41 20 72 40 20 72 38 19 67 36 18 65 35 15 64 35 14 64 35 13 63 35 13 62 34 13 61 34 13 60 32 13 58 31 12 58 31 12 57 29 12 55 26 11 54 23 9 53 23 7 50 21 6 46 17 6
0.960 20 1 0.303 0.002 0.309 0.027 4.249 16.050 0.303 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 58 30 14 56 26 11 54 26 11 53 25 10 52 24 10 49 22 9 48 22 8 47 22 7 45 21 7 45 20 6 45 20 6 45 19 6 44 19 6 44 19 6 41 18 6 40 17 6 39 16 5 37 15 5 36 15 4 31 14 4 29 13 4
0.983 21 1 0.306 0.000 0.306 0.000 0.000 -3.000 0.306 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 63 29 13 57 26 10 55 26 10 52 24 10 51 24 9 51 22 9 51 22 9 50 22 9 49 21 9 49 21 8 47 21 8 46 21 7 46 20 7 46 20 7 44 20 6 43 20 6 43 18 5 43 16 5 42 16 4 41 13 3 38 13 1
0.215 5 1 0.299 0.152 0.671 0.319 0.100 -1.688 0.579 0.679 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 75 47 23 75 46 23 72 43 22 70 43 19 66 37 17 63 36 15 60 35 15 53 34 14 53 30 13 52 28 13 51 27 13 50 27 12 50 24 9 50 24 8 49 22 7 48 20 7 48 20 7 45 19 6 45 16 6 40 15 4 33 9 2
0.333 7 1 0.297 0.165 0.620 0.320 0.594 -1.001 0.552 0.519 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 80 38 22 76 38 17 66 32 17 60 32 16 56 31 14 56 28 14 55 28 13 54 27 13 47 26 12 47 26 10 47 23 10 47 22 10 46 21 8 46 19 7 45 19 7 43 19 6 43 19 6 42 15 6 40 14 5 38 13 5 38 9 4
0.565 12 1 0.583 0.049 0.665 0.180 1.643 2.151 0.583 0.142 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 79 45 20 69 43 20 68 40 16 65 35 16 65 34 16 64 33 15 64 33 14 63 32 14 63 32 14 62 32 13 59 32 13 57 31 13 57 31 12 57 31 12 56 30 11 55 28 11 53 28 11 50 25 10 49 24 8 48 23 8 32 21 7
0.745 16 1 1.032 0.028 1.002 0.167 -3.563 12.705 1.032 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 88 53 27 83 50 23 78 50 23 77 49 22 76 48 21 76 46 19 73 43 18 69 42 17 68 40 17 67 40 17 65 40 16 65 39 16 64 39 16 64 35 16 63 35 14 61 35 14 57 34 13 56 33 13 55 32 11 52 31 10 50 30 10
0.928 19 1 1.160 0.005 1.148 0.074 -3.929 14.598 1.160 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 81 54 31 80 49 27 78 48 25 75 48 23 74 48 23 72 47 23 71 47 21 71 46 20 70 45 19 68 42 19 68 41 19 66 40 18 66 40 18 66 39 17 64 39 17 64 37 15 63 36 15 61 34 14 59 30 13 54 30 13 51 26 4
0.344 7 1 0.628 0.062 0.722 0.212 0.293 -0.057 0.628 0.198 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 83 47 23 78 42 22 77 41 20 72 39 19 68 39 18 68 38 17 65 36 16 64 35 16 60 35 15 59 35 15 59 34 14 59 32 14 58 32 14 56 30 13 56 29 13 55 27 13 52 26 13 51 25 13 50 25 11 49 25 10 48 16 7
0.658 14 1 0.331 0.070 0.418 0.171 1.872 2.508 0.331 0.067 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 66 33 20 59 32 15 56 31 13 56 29 13 56 27 10 53 26 10 53 24 9 52 23 9 51 23 9 49 22 9 49 22 9 48 21 8 48 21 8 47 20 8 47 19 7 45 19 6 42 19 6 41 18 5 41 18 5 40 17 5 38 17 4
0.862 18 1 1.083 0.014 1.046 0.119 -3.540 11.536 1.083 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 81 64 30 79 57 21 74 57 21 73 54 20 69 50 20 66 48 19 66 48 19 66 44 18 65 43 18 63 42 18 62 42 17 60 39 17 59 38 16 58 38 16 58 38 15 57 37 14 57 36 12 57 33 11 55 32 11 55 32 10 49 30 9
0.957 20 1 0.303 0.108 0.347 0.193 4.249 16.050 0.303 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 59 29 12 54 28 11 51 27 10 50 26 10 48 24 10 48 24 9 47 23 8 46 23 8 46 22 8 45 22 8 44 21 8 44 20 8 43 20 6 42 19 5 42 19 5 41 19 4 41 18 4 39 18 3 38 17 3 35 14 2 34 13 1
0.363 8 1 1.181 0.136 0.843 0.339 -0.394 -1.494 0.965 0.627 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 83 55 30 81 53 26 80 50 26 79 47 25 69 45 24 69 45 24 69 45 23 65 44 21 63 44 19 63 44 19 60 44 19 59 43 18 59 43 18 59 42 18 57 36 16 57 36 15 56 35 15 56 35 15 52 29 12 50 24 10 48 19 10
0.071 1 0 0.697 0.105 0.764 0.283 0.196 -1.056 0.729 0.435 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 78 52 23 73 52 21 70 48 20 66 42 20 65 40 19 65 40 18 63 37 17 62 37 17 62 37 15 62 35 13 62 35 13 56 34 13 56 34 12 56 33 12 55 32 12 54 31 10 50 27 9 49 26 8 47 24 8 47 18 5 40 15 5
0.859 18 1 0.958 0.018 0.932 0.130 -3.851 14.144 0.958 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 86 47 27 80 44 25 79 42 21 75 41 19 74 41 18 74 41 18 70 40 17 65 39 17 65 39 16 65 39 15 64 39 15 63 39 15 61 37 14 61 36 14 61 34 14 57 33 13 56 32 12 55 32 12 54 32 11 54 27 10 50 25 7
0.329 7 1 0.579 0.092 0.715 0.257 0.512 -1.119 0.579 0.406 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 89 47 22 70 41 21 67 40 21 62 40 21 62 39 21 61 38 18 58 38 16 57 35 16 56 33 15 55 32 14 54 31 14 53 31 13 51 30 13 51 29 12 49 29 11 49 29 11 48 28 9 47 28 8 46 26 8 43 23 7 39 16 5
0.230 5 1 1.215 0.133 0.759 0.318 0.148 -1.252 0.791 0.498 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 79 54 23 78 54 22 76 48 22 75 45 19 74 45 18 73 44 18 72 44 17 70 43 17 65 43 16 63 41 15 63 39 15 61 38 14 60 38 14 59 34 13 55 31 13 54 29 13 54 27 11 52 26 8 51 24 5 49 14 4 44 11 3
0.196 4 1 0.753 0.068 0.880 0.245 -0.723 -0.099 0.935 0.338 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 87 50 22 82 48 21 82 43 21 77 41 20 77 39 19 74 39 18 73 39 17 72 38 16 63 37 16 62 37 16 61 36 15 59 35 15 58 35 13 58 34 13 57 33 13 56 33 12 55 31 11 53 31 9 50 30 7 49 26 7 44 25 5
0.218 5 1 0.503 0.116 0.741 0.293 0.035 -1.386 0.735 0.495 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 81 43 25 80 41 22 70 38 21 69 37 17 66 36 16 66 35 15 63 33 15 59 32 15 57 32 14 57 31 13 57 31 12 56 30 12 56 29 11 55 26 11 50 26 10 49 26 10 48 24 9 46 22 8 43 20 4 43 18 4 42 10 3
0.390 8 1 0.992 0.088 0.780 0.262 -0.653 -0.854 0.827 0.340 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 91 62 21 84 52 21 75 48 20 73 47 19 73 47 18 71 44 17 67 42 17 65 40 14 65 39 14 64 39 13 64 39 13 62 39 13 61 38 11 58 38 11 58 36 11 57 35 11 56 33 10 56 32 10 55 32 9 54 29 7 39 21 6
0.573 12 1 0.437 0.109 0.619 0.260 1.135 -0.189 0.437 0.372 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 68 37 21 65 37 21 63 33 17 61 32 16 60 30 15 59 29 14 59 28 14 55 28 14 55 28 13 54 27 12 53 27 12 51 27 12 51 27 10 51 25 10 50 25 10 46 24 9 46 22 8 45 22 8 43 21 6 42 20 6 36 15 4
0.248 5 1 0.656 0.059 0.775 0.214 0.426 -0.205 0.702 0.291 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 74 43 25 72 43 21 71 42 21 71 41 18 70 41 17 69 38 17 67 37 17 67 34 17 66 34 15 64 33 14 64 32 14 62 32 14 61 31 13 58 30 13 57 29 11 55 28 11 55 26 10 54 25 9 50 23 9 50 17 7 48 16 5
0.257 5 1 0.587 0.163 0.714 0.342 0.264 -1.400 0.587 0.649 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 83 51 27 73 43 20 73 41 18 69 40 17 68 38 17 67 36 16 65 36 15 60 36 15 60 33 14 56 33 14 56 32 13 55 30 13 55 29 12 55 28 10 53 28 10 50 27 10 46 26 9 46 25 6 42 23 5 41 23 4 41 22 1
0.231 5 1 0.886 0.129 0.706 0.301 -0.357 -1.488 0.886 0.576 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 84 50 25 72 45 25 67 43 24 67 43 21 66 43 20 65 41 18 63 40 16 62 38 15 60 37 15 59 37 15 59 36 14 59 34 13 58 33 13 58 31 10 57 27 9 51 27 9 51 23 9 49 21 9 46 21 7 45 20 7 34 17 6
0.214 5 1 0.872 0.075 0.699 0.229 0.217 -0.548 0.704 0.295 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 77 45 22 75 44 19 73 39 18 68 38 18 65 37 17 64 37 17 63 37 16 63 35 15 61 35 15 60 34 15 60 34 13 57 32 13 54 29 13 53 29 12 52 28 12 51 24 11 51 24 10 48 22 9 43 20 8 43 20 8 42 17 7
0.925 19 1 0.945 0.012 0.920 0.104 -4.222 15.904 0.945 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 82 54 26 75 49 24 73 46 20 73 44 20 73 44 19 71 42 19 70 41 18 69 39 18 66 39 18 62 38 17 62 37 17 61 36 17 58 36 17 58 36 16 57 35 15 54 34 15 53 34 14 50 33 14 48 32 13 44 32 11 40 20 11
0.380 8 1 0.411 0.117 0.609 0.267 0.837 -0.670 0.451 0.459 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 78 41 17 74 41 16 61 39 15 61 31 14 60 31 14 58 28 13 56 27 13 55 26 12 54 26 12 54 24 12 53 24 12 51 23 11 50 22 11 50 22 11 49 21 8 49 21 8 49 21 7 48 19 6 48 19 6 45 19 6 43 15 2
0.855 18 1 0.405 0.013 0.418 0.073 1.647 4.404 0.405 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 63 37 16 59 33 14 59 31 14 57 30 14 57 30 14 54 27 13 54 26 13 52 25 12 51 25 11 50 24 11 50 23 11 50 22 10 48 22 10 48 22 9 46 20 9 45 19 8 43 19 8 40 18 8 40 18 6 39 17 5 36 16 4
0.344 7 1 0.501 0.087 0.598 0.228 0.730 0.025 0.501 0.264 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 80 36 16 65 35 15 64 33 13 62 33 13 62 32 13 60 30 12 58 29 12 57 29 12 56 28 12 54 28 12 53 28 11 52 26 11 51 25 11 51 24 10 50 24 9 50 23 9 49 23 9 47 20 9 42 20 7 40 19 5 38 15 2
0.781 16 1 0.623 0.032 0.665 0.146 1.496 3.358 0.623 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 71 44 25 70 43 23 69 42 22 65 41 21 64 41 20 63 39 18 63 38 17 60 38 16 60 35 16 60 34 16 58 30 15 57 28 15 56 28 15 53 28 13 53 27 13 53 26 11 50 25 11 49 25 11 48 24 11 43 24 10 42 24 8
0.965 20 1 0.972 0.010 0.950 0.098 -4.249 16.050 0.972 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 80 46 25 80 45 24 78 45 22 75 42 20 73 42 20 71 41 18 70 40 17 69 40 17 69 39 15 67 36 14 67 36 14 67 36 14 66 35 13 64 35 13 60 33 11 59 33 10 58 31 10 57 31 10 57 28 10 57 27 9 53 23 9
0.585 12 1 0.792 0.046 0.839 0.197 -0.204 1.832 0.792 0.080 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 82 49 27 74 41 22 73 41 21 72 39 21 71 39 19 70 39 18 70 39 18 70 37 17 70 36 17 68 34 17 67 32 17 67 32 15 64 32 15 59 31 15 55 30 14 55 28 14 55 27 13 54 26 12 53 24 11 50 22 9 49 19 6
0.641 13 1 0.527 0.072 0.685 0.221 0.883 -0.944 0.527 0.366 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 64 42 17 63 40 15 62 38 15 62 36 14 59 34 14 58 34 14 57 34 13 56 33 12 55 33 12 55 32 12 53 31 11 53 30 11 52 30 11 51 30 10 50 29 10 50 28 9 50 27 9 49 27 9 44 26 8 37 25 7 37 24 7
0.019 0 0 0.772 0.090 0.826 0.273 -0.317 -0.813 0.855 0.431 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 84 51 25 83 49 21 79 46 20 77 46 20 76 43 19 73 42 19 72 42 19 71 40 18 70 40 17 69 39 16 62 38 15 60 37 14 59 36 14 59 35 14 54 35 13 54 33 13 53 31 12 49 30 8 48 23 8 42 20 6 39 20 5
0.977 21 1 0.676 0.000 0.676 0.000 0.000 -3.000 0.676 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 71 49 24 68 38 22 68 38 19 68 38 19 67 37 17 66 36 17 66 36 17 63 34 14 62 34 13 62 33 13 60 32 13 59 31 13 59 31 13 58 29 11 57 29 11 56 28 10 54 28 9 53 25 9 51 23 9 51 22 8 47 19 7
0.967 20 1 0.962 0.009 0.941 0.093 -4.249 16.050 0.962 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 81 58 24 80 53 23 80 49 22 79 48 22 78 47 21 76 46 20 74 45 20 71 44 19 70 44 18 68 42 17 66 41 17 64 39 16 64 37 16 63 35 15 62 34 14 62 32 14 61 30 13 61 29 12 60 29 12 54 27 12 54 25 10
0.280 6 1 0.614 0.051 0.684 0.188 0.708 1.041 0.623 0.149 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 74 46 23 73 43 21 68 41 18 66 38 18 65 38 18 63 36 16 63 36 15 61 34 14 60 34 14 59 33 14 59 32 13 59 31 13 58 29 13 58 28 12 57 27 10 57 26 9 54 26 9 52 25 8 52 25 7 45 23 7 43 18 4
0.961 20 1 0.700 0.000 0.703 0.015 4.249 16.050 0.700 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 78 53 19 77 42 18 74 38 18 70 38 17 68 37 16 63 36 16 63 34 15 62 34 15 61 34 15 60 33 14 60 32 14 60 32 14 59 31 14 59 30 14 59 28 13 59 27 11 58 27 10 57 26 9 55 26 9 55 23 8 47 22 7
0.968 20 1 0.465 0.005 0.476 0.047 4.249 16.050 0.465 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 79 37 15 76 35 14 69 35 13 69 33 13 66 29 13 64 29 11 61 29 10 60 29 10 59 28 10 58 26 10 58 26 10 55 26 10 54 26 9 52 25 8 51 25 8 50 24 8 44 22 8 43 20 7 39 19 7 37 18 7 28 12 7
0.666 14 1 0.754 0.020 0.816 0.129 1.476 1.352 0.754 0.097 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 80 42 21 78 40 21 76 40 20 76 39 20 73 39 20 73 39 19 68 36 16 68 36 15 65 34 15 63 33 14 63 33 14 63 32 14 62 32 13 61 32 13 61 31 13 61 31 12 61 31 11 56 30 10 55 30 9 52 28 7 49 26 7
0.080 2 1 0.889 0.101 0.781 0.281 0.219 -1.217 0.718 0.497 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 81 54 19 78 49 17 75 49 17 73 39 16 71 38 16 70 37 16 69 36 15 68 36 15 66 36 15 60 35 15 59 35 14 58 33 14 57 33 13 55 33 13 55 32 12 54 31 12 53 27 11 52 25 10 52 24 10 50 20 8 46 18 6
0.850 18 1 1.108 0.045 1.022 0.215 -2.163 2.911 1.108 0.000 0.100 0.000 0.000 -3.000 0.100 0.000 100000.000 0.000 0.000 -3.000 100000.000 0.000 88 53 29 88 52 25 79 49 19 78 49 19 74 48 19 71 48 19 71 47 19 69 46 19 68 46 18 68 44 18 66 43 18 65 42 16 65 41 16 63 40 15 63 38 14 62 36 14 61 34 13 59 33 13 59 32 13 57 30 12 54 28 9
